#routeName,depTime,travelTime
W->E,0,6.7588
W->E,0,8.1925
W->E,0.20481,8.1925
W->E,0.20481,8.1925
E->W,0.40963,8.3974
E->W,0.61444,9.4214
W->E,0.81925,7.7829
W->E,0.81925,8.1925
E->W,0.81925,10.036
E->W,1.0241,11.06
W->E,1.2289,8.1925
W->E,1.2289,8.6022
E->W,1.2289,11.879
W->E,1.8433,7.9877
E->W,1.8433,12.289
E->W,1.8433,13.518
W->E,2.2529,7.7829
E->W,2.6626,13.313
E->W,2.8674,13.723
W->E,3.0722,7.1685
W->E,3.277,6.9637
W->E,3.4818,6.9637
W->E,3.4818,7.1685
W->E,3.8915,7.0149
W->E,4.3011,6.7588
W->E,4.5059,6.9637
W->E,4.7107,6.9637
W->E,4.7107,6.9637
W->E,4.7107,7.7829
W->E,4.9155,8.1925
W->E,5.1203,7.9877
W->E,5.53,7.7829
W->E,5.53,7.7829
W->E,5.53,8.3974
W->E,5.7348,8.3974
W->E,6.7588,7.3733
W->E,6.7588,7.3733
W->E,6.9637,7.5781
W->E,6.9637,8.1925
W->E,7.5781,7.5781
W->E,7.5781,8.1925
W->E,7.5781,8.6022
W->E,8.3974,7.7829
W->E,8.3974,8.1925
W->E,8.3974,8.1925
W->E,8.6022,8.1925
W->E,8.807,7.9877
W->E,8.807,8.3974
W->E,9.2166,8.3974
W->E,9.2166,8.807
W->E,9.2166,8.807
W->E,10.036,7.9877
W->E,10.036,7.9877
W->E,10.036,8.3974
W->E,11.06,7.5781
W->E,11.265,7.5781
W->E,11.265,7.7829
W->E,12.084,7.7829
W->E,12.084,7.9877
W->E,12.698,7.3733
W->E,12.698,7.7829
W->E,13.723,6.9637
W->E,13.723,6.9637
W->E,13.927,7.1685
W->E,14.747,6.554
W->E,15.566,5.9396
W->E,15.566,6.554
W->E,16.18,6.1444
W->E,16.59,5.7348
W->E,17,6.3492
W->E,17,6.3492
W->E,17.409,6.1444
W->E,17.614,6.9637
W->E,17.819,7.5781
W->E,18.433,7.1685
W->E,18.843,7.3733
W->E,19.048,7.3733
W->E,19.457,7.1685
W->E,19.457,7.1685
W->E,19.457,7.7829
W->E,19.457,8.1925
W->E,19.457,9.831
W->E,19.457,9.831
W->E,19.662,7.1685
W->E,19.662,7.9877
W->E,19.662,7.9877
W->E,19.662,9.4214
W->E,19.662,9.831
